cae --md5 basic
dma resource write: 0x140c09bc, 0x0
dma resource write: 0x140c09c8, 0x0
dma resource write: 0x140c09cc, 0x0
dma resource write: 0x140c09d0, 0x0
dma resource write: 0x140c09d4, 0x0
dma resource write: 0x140c09d8, 0x0
dma resource write: 0x140c09dc, 0x0
dma resource write: 0x140c09e8, 0x0
dma resource write: 0x140c09ec, 0x0
dma resource write: 0x140c09f0, 0x0
dma resource write: 0x140c09f4, 0x0
dma resource write: 0x140c09f8, 0x0
dma resource write: 0x140c09fc, 0x0
dma resource write: 0x140c0a08, 0x0
dma resource write: 0x140c0a0c, 0x0
dma resource write: 0x140c0a10, 0x0
dma resource write: 0x140c0a14, 0x0
dma resource write: 0x140c0a18, 0x0
dma resource write: 0x140c0a1c, 0x0
dma resource write: 0x140c0a28, 0x0
dma resource write: 0x140c0a2c, 0x0
dma resource write: 0x140c0a30, 0x0
dma resource write: 0x140c0a34, 0x0
dma resource write: 0x140c0a38, 0x0
dma resource write: 0x140c0a3c, 0x0
dma resource write: 0x140c0a48, 0x0
dma resource write: 0x140c0a4c, 0x0
dma resource write: 0x140c0a50, 0x0
dma resource write: 0x140c0a54, 0x0
dma resource write: 0x140c0a58, 0x0
dma resource write: 0x140c0a5c, 0x0
dma resource write: 0x140c0a68, 0x0
dma resource write: 0x140c0a6c, 0x0
dma resource write: 0x140c0a70, 0x0
dma resource write: 0x140c0a74, 0x0
dma resource write: 0x140c0a78, 0x0
dma resource write: 0x140c0a7c, 0x0
dma resource write: 0x140c0a88, 0x0
dma resource write: 0x140c0a8c, 0x0
dma resource write: 0x140c0a90, 0x0
dma resource write: 0x140c0a94, 0x0
dma resource write: 0x140c0a98, 0x0
dma resource write: 0x140c0a9c, 0x0
dma resource write: 0x140c0aa8, 0x0
dma resource write: 0x140c0aac, 0x0
dma resource write: 0x140c0ab0, 0x0
dma resource write: 0x140c0ab4, 0x0
dma resource write: 0x140c0ab8, 0x0
dma resource write: 0x140c0abc, 0x0
dma resource write: 0x140c0ac8, 0x0
dma resource write: 0x140c0acc, 0x0
dma resource write: 0x140c0ad0, 0x0
dma resource write: 0x140c0ad4, 0x0
dma resource write: 0x140c0ad8, 0x0
dma resource write: 0x140c0adc, 0x0
dma resource write: 0x140c0ae8, 0x0
dma resource write: 0x140c0aec, 0x0
dma resource write: 0x140c0af0, 0x0
dma resource write: 0x140c0af4, 0x0
dma resource write: 0x140c0af8, 0x0
dma resource write: 0x140c0afc, 0x0
dma resource write: 0x140c0b08, 0x0
dma resource write: 0x140c0b0c, 0x0
dma resource write: 0x140c0b10, 0x0
dma resource write: 0x140c0b14, 0x0
dma resource write: 0x140c0b18, 0x0
dma resource write: 0x140c0b1c, 0x0
dma resource write: 0x140c0b28, 0x0
dma resource write: 0x140c0b2c, 0x0
dma resource write: 0x140c0b30, 0x0
dma resource write: 0x140c0b34, 0x0
dma resource write: 0x140c0b38, 0x0
dma resource write: 0x140c0b3c, 0x0
dma resource write: 0x140c0b48, 0x0
dma resource write: 0x140c0b4c, 0x0
dma resource write: 0x140c0b50, 0x0
dma resource write: 0x140c0b54, 0x0
dma resource write: 0x140c0b58, 0x0
dma resource write: 0x140c0b5c, 0x0
dma resource write: 0x140c0b68, 0x0
dma resource write: 0x140c0b6c, 0x0
dma resource write: 0x140c0b70, 0x0
dma resource write: 0x140c0b74, 0x0
dma resource write: 0x140c0b78, 0x0
dma resource write: 0x140c0b7c, 0x0
dma resource write: 0x140c0b88, 0x0
dma resource write: 0x140c0b8c, 0x0
dma resource write: 0x140c0b90, 0x0
dma resource write: 0x140c0b94, 0x0
dma resource write: 0x140c0b98, 0x0
dma resource write: 0x140c0b9c, 0x0
dma resource write: 0x140c0ba8, 0x0
dma resource write: 0x140c0bac, 0x0
dma resource write: 0x140c0bb0, 0x0
dma resource write: 0x140c0bb4, 0x0
dma resource write: 0x140c0bb8, 0x0
dma resource write: 0x140c0bbc, 0x0
dma resource write: 0x140c0bc8, 0x0
dma resource write: 0x140c0bcc, 0x0
dma resource write: 0x140c0bd0, 0x0
dma resource write: 0x140c0bd4, 0x0
dma resource write: 0x140c0bd8, 0x0
dma resource write: 0x140c0bdc, 0x0
dma resource write: 0x140c0be8, 0x0
dma resource write: 0x140c0bec, 0x0
dma resource write: 0x140c0bf0, 0x0
dma resource write: 0x140c0bf4, 0x0
dma resource write: 0x140c0bf8, 0x0
dma resource write: 0x140c0bfc, 0x0
dma resource write: 0x140c0c08, 0x0
dma resource write: 0x140c0c0c, 0x0
dma resource write: 0x140c0c10, 0x0
dma resource write: 0x140c0c14, 0x0
dma resource write: 0x140c0c18, 0x0
dma resource write: 0x140c0c1c, 0x0
dma resource write: 0x140c0c28, 0x0
dma resource write: 0x140c0c2c, 0x0
dma resource write: 0x140c0c30, 0x0
dma resource write: 0x140c0c34, 0x0
dma resource write: 0x140c0c38, 0x0
dma resource write: 0x140c0c3c, 0x0
dma resource pre: 0x140bdf7c, 0x0, 0x400 0x140c0848
reg info write: 0xc5400000, 0x140c0848
reg info write: 0xc5400004, 0x00000000
reg info write: 0xc5400018, 0x00000400
reg info write: 0xc540001c, 0x40080006
reg info write: 0xc5400020, 0x00060008
reg info write: 0xc5400024, 0x01000000
reg info write: 0xc5400800, 0x7fffffff
reg info read: 0xc5400800, 0x7fffffff
reg info write: 0xc5400800, 0x00000000
reg info read: 0xc5400800, 0x00000000
dma resource write: 0x140c0840, 0x0
dma resource write: 0x140c0844, 0x0
dma resource write: 0x140c0848, 0x0
dma resource write: 0x140c084c, 0x0
dma resource write: 0x140c0850, 0x0
dma resource write: 0x140c0854, 0x0
dma resource write: 0x140c0860, 0x0
dma resource write: 0x140c0864, 0x0
dma resource write: 0x140c0868, 0x0
dma resource write: 0x140c086c, 0x0
dma resource write: 0x140c0870, 0x0
dma resource write: 0x140c0874, 0x0
dma resource write: 0x140c0880, 0x0
dma resource write: 0x140c0884, 0x0
dma resource write: 0x140c0888, 0x0
dma resource write: 0x140c088c, 0x0
