Voltage,Board,CORE,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1608,1680,1728,1800,1848,1920,1968,2040,2088,2160,2208,2280,2328,2400,2448,2520,2568
800,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,0,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,,
720,5,0,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,
800,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,
850,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,
950,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,
650,5,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,
800,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
1000,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,
1050,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
650,5,2,1,1,1,1,1,1,1,X,,,,,,,,,,,,,,,,,,,
720,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,,,,,
800,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,,,
850,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,,,
900,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,,
950,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,,,,
